#{"t_start": 1759147325.73716, "env_id": "KinematicCar-v0"}
r,l,t
-98.852646,600,382.105034
-94.215337,600,383.693753
-98.027875,600,385.32484
-96.084263,600,386.924545
-97.619605,600,388.529581
-92.62723,600,390.243388
-93.930699,600,391.814217
-94.974381,600,393.412026
-97.208222,600,394.972051
-93.812888,600,396.569885
-90.669813,600,398.145532
-31.945059,498,399.465446
11.970086,235,400.096586
-96.54721,600,402.3434
-92.87808,600,403.938708
-89.079248,600,405.563608
-95.095668,600,407.142832
-95.233322,600,408.735785
-94.443477,600,410.318627
-94.661141,600,411.956004
-94.703399,600,413.550898
-100.835564,600,415.14834
-93.232776,600,416.739409
-96.337424,600,418.322497
-40.723788,593,419.90493
-97.470894,600,421.514436
-91.29215,600,423.091343
-95.94027,600,424.667384
-93.489138,600,426.356399
-97.48944,600,427.955765
-96.317641,600,430.188409
-98.210347,600,431.816314
-88.649565,600,433.400774
-96.519858,600,434.986147
-93.82821,600,436.602647
49.224416,36,436.697108
-99.768441,600,438.301104
-17.391269,463,439.518471
-92.871565,600,441.166811
28.870462,150,441.567466
-99.819213,600,443.165872
-97.185573,600,444.814551
-96.465746,600,446.443146
-92.610966,600,448.048594
-98.340973,600,449.663828
-96.187352,600,451.293374
-95.030508,600,452.894042
-96.035392,600,454.483756
-97.310688,600,456.121107
-98.052825,600,458.347565
-95.418442,600,459.943368
-92.140975,600,461.656937
-91.489164,600,463.319648
-94.954877,600,464.909273
-100.061919,600,466.480342
-94.652719,600,468.08512
-93.773375,600,469.68005
-93.349822,600,471.262449
-93.43843,600,472.86378
-97.063378,600,474.448251
-100.407802,600,476.038992
-92.798628,600,477.680792
-90.180067,600,479.260323
-95.286035,600,480.920521
-30.74034,526,482.329602
-97.532369,600,484.525647
-95.252248,600,486.177658
-100.025576,600,487.982618
-97.474118,600,489.594444
-97.770293,600,491.269149
-96.690483,600,492.920844
-93.585009,600,494.511469
-92.358898,600,496.169283
-94.348013,600,497.787197
-95.92721,600,499.383023
-97.732625,600,501.020451
-93.76827,600,502.681569
-97.109706,600,504.276229
-89.036806,600,505.872429
-90.957939,600,507.465928
-96.03018,600,509.066399
-92.044849,600,510.721397
-93.669673,600,512.964096
-89.343008,600,514.546986
-90.822182,600,516.166137
-90.310423,600,517.771977
-89.591728,600,519.364549
-92.849388,600,520.952087
-96.604795,600,522.541602
-96.09461,600,524.150383
-91.452747,600,525.785255
-92.016121,600,527.376626
-96.582108,600,528.986296
-95.375102,600,530.586595
-95.084072,600,532.192785
-95.295622,600,533.796721
41.571642,66,533.98191
-98.603997,600,535.623162
-95.583416,600,537.240878
21.400658,176,537.708439
