#{"t_start": 1759054666.472784, "env_id": "KinematicCar-v0"}
r,l,t
-8948.646616,800,11.354013
-13148.195429,800,11.487511
-2042.465564,800,11.622578
-49341.715245,800,11.750222
-16738.851851,800,11.880471
31,800,2.738173
-23059.325417,800,4.108696
-25994.721454,800,5.73844
-25363.879005,800,7.377649
-15999.703309,800,9.024069
-22696.440691,800,10.700183
-13103.848107,800,12.432101
-26868.823303,800,14.75721
-1734.576306,800,16.41068
-6689.585244,800,18.068836
-9436.290419,800,19.721286
