#{"t_start": 1759134182.9294481, "env_id": "KinematicCar-v0"}
r,l,t
-22.040847,500,11.389012
-52.549524,500,11.477144
-125.257598,500,11.566698
-84.956333,500,11.654746
-26.823376,500,11.742387
-25.15577,500,32.678507
-14.819494,500,32.770979
-131.5027,500,32.855614
-37.888475,500,32.937837
-33.226219,500,33.02198
-42.83543,500,54.139718
-19.696214,500,54.228982
-40.056544,500,54.319093
-29.789057,500,54.408655
-35.384335,500,54.497862
-84.758137,500,75.570984
-6.38582,500,75.657943
-17.109748,500,75.74531
-28.422019,500,75.830475
-32.32979,500,75.913824
-34.726906,500,97.006273
-53.235397,500,97.094567
-8.104835,500,97.182639
-41.992677,500,97.270229
-58.564897,500,97.358315
-109.740521,500,118.415434
-33.695129,500,118.501759
-7.485907,500,118.58789
-44.353287,500,118.672442
-18.877913,500,118.756993
-34.133341,500,139.836845
-23.797813,500,139.920545
-44.781785,500,140.005585
-3.610221,500,140.089381
-29.596736,500,140.172992
-76.650724,500,161.192063
-81.436761,500,161.279733
-8.676295,500,161.367471
-6.735527,500,161.455944
-21.746617,500,161.543282
-40.164962,500,182.60388
-59.585372,500,182.693803
-6.664528,500,182.788615
-7.104562,500,182.877461
-31.944729,500,182.966174
-63.24477,500,203.967396
-9.510315,500,204.056039
-38.203443,500,204.14544
-26.670369,500,204.234362
-61.753532,500,204.322615
-4.444776,500,225.381764
-10.371298,500,225.470597
-27.107229,500,225.55941
-38.80528,500,225.647954
-22.847071,500,225.736942
-142.61288,500,246.809829
-6.131241,500,246.898307
-9.776626,500,246.986587
-72.813212,500,247.072037
-48.568277,500,247.157569
-12.944971,500,268.226642
-21.706073,500,268.309068
-28.86435,500,268.39134
-11.900846,500,268.475475
-40.426122,500,268.558146
-13.674682,500,289.699023
-30.695878,500,289.78485
-24.015239,500,289.871075
-32.045736,500,289.957077
-36.895529,500,290.042824
-50.645509,500,311.159775
-120.372149,500,311.244747
-19.361889,500,311.329825
-60.803071,500,311.417446
-12.634854,500,311.505928
-9.317534,500,332.493709
-27.522696,500,332.582333
-45.96881,500,332.671495
-172.00602,500,332.760513
-50.697472,500,332.849082
-21.791341,500,353.980039
-26.476327,500,354.069066
-7.053065,500,354.158101
-14.010668,500,354.247705
-15.246759,500,354.336589
-26.155142,500,375.545156
-32.091718,500,375.633794
-36.819708,500,375.722939
-10.219637,500,375.811995
-95.010109,500,375.901116
-129.191851,500,397.102548
-38.815427,500,397.190625
-38.476144,500,397.278901
-78.058059,500,397.367533
-88.819854,500,397.455919
-54.467212,500,418.437688
-57.313421,500,418.520533
-119.605269,500,418.604507
-45.915548,500,418.68818
-83.725835,500,418.770615
.92694,500,102.679454
-54.781801,500,103.755568
-13.179937,500,104.806453
-20.364308,500,105.848285
-35.206434,500,106.886384
-22.364927,500,107.927233
-17.340873,500,108.987629
-16.758678,500,110.030067
-23.764291,500,111.078796
-19.327195,500,112.117832
-24.253584,500,113.160582
-18.608185,500,114.203681
-28.137683,500,115.247193
-30.579448,500,116.303994
-39.588997,500,117.355331
-33.291248,500,118.432804
-17.49179,500,119.468954
-15.846224,500,120.948314
-46.778738,500,121.995195
-22.283792,500,123.041281
-26.702053,500,124.095563
-41.360517,500,125.139004
-27.8195,500,126.19319
-17.55861,500,127.226761
-43.170559,472,128.216655
-65.852516,500,129.276959
-61.710247,500,130.325028
-29.841538,500,131.373487
-61.295363,500,132.424629
-30.444829,500,133.480334
-24.488989,500,134.538907
-27.373154,500,135.576366
-33.337223,500,136.617893
-68.913486,500,137.672526
-59.963632,500,138.716985
-31.306057,500,139.772224
-16.317623,500,140.824903
-6.124195,96,141.035477
-65.350734,500,142.51289
-37.235206,500,143.561874
-26.718518,500,144.622117
-36.167611,500,145.669697
-32.0038,500,146.725365
-30.026912,500,147.766616
-43.803251,500,148.807528
-21.743302,500,149.869931
-15.344093,500,150.896859
-32.914833,500,151.923321
-23.314103,500,152.967042
-34.222464,500,153.996112
-12.514863,500,155.058379
-62.409878,500,156.111289
-83.079224,500,157.162972
-23.856609,500,158.202685
-26.638658,500,159.244979
-25.508509,500,160.296366
-89.424702,500,161.33866
-28.239347,500,162.386238
-13.59717,500,163.877145
-14.362613,500,164.955819
-16.842187,500,165.999307
-24.378912,500,167.042861
-41.431778,500,168.092933
-23.510179,500,169.141179
-38.541437,500,170.196929
-20.795854,500,171.262954
-27.83667,500,172.306796
-19.696397,500,173.357557
-29.717025,500,174.402912
-32.383222,500,175.459991
-19.79097,500,176.508992
-29.056606,500,177.534515
-14.202849,500,178.587654
-23.737678,500,179.63201
-14.410604,500,180.681899
-29.56859,500,181.728062
-26.836559,500,182.765274
-17.73076,500,183.804518
-28.572178,500,185.295851
-15.639466,500,186.335997
-20.977553,500,187.376389
-37.111228,500,188.436177
-19.719896,500,189.486393
-22.921295,500,190.533425
-40.637036,500,191.568034
-15.980841,500,192.610491
-15.530027,500,193.651759
-19.157353,500,194.714348
-23.449986,500,195.76761
-20.008444,500,196.808708
-20.752862,500,197.835322
-30.209187,500,198.870022
-31.492637,500,199.914766
-28.537818,500,201.000569
-16.616715,500,202.04308
-62.75973,500,203.087468
-21.817673,500,204.11762
-23.968124,500,205.148456
-22.125602,500,206.648711
-17.183487,500,207.688869
-29.892828,500,208.732705
-63.174648,500,209.780498
-27.503539,500,210.834869
-32.210373,500,211.875921
-16.652435,500,212.904811
-17.881962,500,213.951057
-19.74441,500,214.994087
-15.063279,500,216.060752
-25.901747,500,217.105808
-33.328868,500,218.152454
-33.072679,500,219.199707
-36.166123,500,220.251955
-55.075509,500,221.303124
-28.669648,500,222.346416
-14.976143,500,223.396586
-33.380693,500,224.459986
-18.938622,500,225.518797
-23.937409,500,226.581565
-32.648563,500,228.075142
-29.769707,500,229.120164
-17.76564,500,230.161819
-35.787295,500,231.256098
-67.1599,500,232.299525
-27.816665,500,233.344467
-23.578482,500,234.39184
-22.577026,500,235.436295
-24.452039,285,236.050545
-22.527694,500,237.1057
-63.776108,500,238.143832
-39.796536,500,239.182894
-26.389771,500,240.229976
-43.012284,500,241.279274
-25.769142,500,242.320671
-41.820562,500,243.359502
-18.407826,500,244.407339
-17.799868,500,245.450352
-0.061517,301,246.078477
-29.625754,500,247.136759
-79.569359,500,248.181517
-47.146367,500,249.671551
-29.665306,500,250.700959
-64.487297,500,251.772823
-25.747128,500,252.807616
-24.48812,500,253.850184
-53.350828,500,254.898484
-20.943244,500,255.930616
-25.580305,500,256.973082
-41.416343,500,258.025873
-62.989911,500,259.070535
-33.103667,500,260.137359
-15.552746,500,261.168246
-51.634338,500,262.221216
-32.796823,500,263.271176
-36.640787,500,264.31841
-25.805475,500,265.378784
-36.674575,500,266.442547
-33.755061,500,267.491251
-26.557128,500,268.539899
-31.896054,500,269.602562
-24.302243,500,271.066597
-23.074277,500,272.123264
-21.047058,500,273.206746
-23.357282,500,274.247675
-36.35916,500,275.288877
-22.735754,500,276.330067
-22.818371,500,277.387925
-19.487142,500,278.467823
-68.504878,500,279.52347
-29.584381,500,280.572099
-26.225106,500,281.618411
-17.295048,500,282.676478
-33.848217,500,283.72077
-25.473856,500,284.757552
-18.976217,500,285.810884
-38.006686,500,286.853965
-25.713103,500,287.906189
-23.478534,500,288.975223
-15.166343,500,290.01926
-25.347109,500,291.0783
-14.050094,500,292.571174
-21.286506,500,293.624199
-27.892966,500,294.670751
-38.26937,500,295.721347
-18.512788,500,296.77429
-23.106544,500,297.835609
-33.433743,387,298.646959
-58.165132,500,299.698341
-43.312912,500,300.741502
-24.164855,500,301.785446
-32.852487,500,302.840724
-17.467053,500,303.890234
-34.311166,500,304.934346
-72.327749,500,305.97787
-27.1283,500,307.022662
-43.425345,500,308.102657
-25.829405,500,309.143194
-12.338715,500,310.183678
-20.251152,500,311.227848
-41.514152,500,312.27609
-58.276754,500,313.785987
-31.409815,500,314.848092
-28.85392,500,315.893604
-20.427958,500,316.934238
-33.040052,500,317.982434
-33.990239,500,319.028314
-25.706088,500,320.067402
-33.946961,500,321.111268
-27.055762,500,322.155448
-26.326493,500,323.214085
-48.448422,500,324.25707
-12.593982,500,325.305323
-24.697702,500,326.347651
-49.356419,500,327.393877
-25.619673,500,328.436995
-29.85472,500,329.466366
-27.556193,500,330.505845
-59.599606,500,331.546295
-30.775564,500,332.584325
-21.435534,500,333.640444
-32.425095,500,335.125696
-20.199332,500,336.17138
-24.15441,500,337.21214
-50.934261,500,338.259279
-65.864698,500,339.321645
-22.662645,500,340.371248
-30.008693,500,341.416091
-65.663862,500,342.459588
-32.468187,500,343.506257
-37.002926,500,344.565078
-40.50032,500,345.61513
-29.033346,500,346.662289
-17.641981,500,347.709391
-29.280704,500,348.804963
-21.916436,500,349.84624
-30.026777,500,350.912681
-84.342056,500,351.96225
-20.806834,500,353.01857
-29.329425,500,354.09085
-22.868382,500,355.126725
-28.340276,500,356.626253
-27.213191,500,357.679518
-27.984809,500,358.730461
-32.559209,500,359.797159
-16.411559,500,360.843451
-30.137875,500,361.891992
-14.896592,500,362.95161
-19.138473,500,364.006025
-25.364637,500,365.066936
-45.207499,500,366.125436
-34.928237,500,367.186805
-25.820105,500,368.253495
-41.939062,500,369.32604
-38.114775,500,370.372949
-33.978225,500,371.419306
-40.25055,500,372.47243
-22.062447,500,373.516535
-15.107388,500,374.585865
-49.680544,500,375.638125
-39.977702,500,376.685222
-44.076598,500,378.200016
-70.45169,500,379.24168
-21.39186,500,380.328409
-21.485904,500,381.3986
-22.605616,500,382.44228
-30.651473,500,383.480483
-19.094467,500,384.544881
-18.282462,500,385.593335
