#{"t_start": 1758988399.1644824, "env_id": "KinematicCar-v0"}
r,l,t
-3455.957435,400,11.751947
-5620.086502,400,11.822038
-3277.365287,400,11.891568
-4688.325893,400,11.961815
-3384.647772,400,12.031824
-3472.133984,400,33.811234
-4295.249248,400,33.880575
-2895.785066,400,33.949485
-2484.407142,400,34.018552
-2742.641104,400,34.087807
-2397.271722,400,55.815006
-2407.984259,400,55.884818
-1962.505768,400,55.954646
-716.540511,400,56.023969
-1734.205225,400,56.093869
-5145.654,400,78.039257
-1260.908899,400,78.106873
-1256.440136,400,78.17401
-2008.44903,400,78.241648
-1826.465232,400,78.308639
-644.323174,400,100.37103
-2372.691435,400,100.442306
-1254.014909,400,100.514398
-1166.856471,400,100.583838
-1497.037178,400,100.653277
-1187.685094,400,122.61649
-1467.814753,400,122.687612
-2543.202731,400,122.758649
-1242.066802,400,122.828874
-2300.983802,400,122.898112
-1427.777569,400,144.839593
-1093.219713,400,144.908278
-895.874918,400,144.97664
-1564.830576,400,145.044997
-1312.831943,366,145.107775
-256.115642,52,166.67616
-329.509499,400,166.748306
-659.773025,400,166.819206
-545.513751,400,166.89059
-248.427081,66,166.902293
-86.437132,46,188.643635
-768.431298,400,188.714016
-317.844575,400,188.784757
-779.825084,400,188.855542
-701.043349,400,188.925916
-1434.286435,400,210.800069
-1309.516576,400,210.869533
-322.73266,400,210.939454
-588.092705,400,211.008865
-1816.096296,400,211.079045
-546.270972,400,232.949258
-1047.601621,400,233.018758
-889.072066,400,233.08759
-955.174965,400,233.15678
-1100.326116,400,233.225496
-1254.740191,400,255.22961
-313.694523,234,255.271847
-1670.11915,400,255.345176
-138.560033,89,255.361448
-970.661889,400,255.433795
-355.332969,400,277.444565
-1462.147651,400,277.515973
-573.451232,400,277.586287
-163.122788,41,277.593484
-1062.751475,400,277.663233
-566.970877,400,299.571679
-870.465139,400,299.642923
-347.418164,400,299.714322
-1384.632534,400,299.786614
-1071.237173,400,299.858883
-939.0835,400,321.999552
-416.258872,400,322.071998
-1114.794528,400,322.146207
-1008.722763,400,322.219285
-619.744838,400,322.291288
-683.395051,400,344.296592
-443.044478,59,344.307242
-1831.711158,400,344.376193
-682.116066,400,344.444874
-955.213217,400,344.514935
-958.046236,400,366.402105
-737.484751,400,366.471984
-689.651613,400,366.541197
-312.035619,81,366.55567
-484.960237,400,366.624382
-787.36,400,388.574202
-1429.355043,400,388.646515
-588.845192,400,388.715585
-607.776431,400,388.784069
-755.760129,400,388.853189
-839.022725,400,411.157008
-754.083257,400,411.22537
-1491.923697,400,411.294308
-1005.201133,400,411.362755
-1337.834556,400,411.43077
-1328.793188,400,433.338764
-319.979266,400,433.410418
-1142.989078,400,433.480611
-1191.623239,400,433.55162
-550.618762,400,433.621886
9.866142
-1976.581119,400,81.129985
-1792.718313,400,82.014581
-1353.321037,400,82.908417
-2001.997621,400,83.818396
-1574.043061,400,84.76339
-1887.882591,400,85.645975
-1848.109531,400,86.515361
-1451.809348,400,87.386119
-65.000342,29,87.449967
-2645.126834,400,88.342461
-1651.762538,400,89.224305
-1590.135366,400,90.126602
-1065.814175,294,90.773515
-750.590945,115,91.023679
-1192.273322,365,91.793748
-533.865524,154,92.119343
-1333.293718,400,92.970278
-2740.352931,400,93.838733
-1801.059758,400,94.702814
-1357.262093,400,95.577246
-76.245067,37,95.654777
-1539.230905,400,96.542818
-2166.32222,400,97.414087
-1550.714212,400,98.258645
-914.913906,400,99.124557
-1309.853169,400,100.013687
-1714.084032,400,100.873821
-1693.283447,400,101.737705
-1766.109521,400,102.975881
-1499.88245,400,103.850647
-933.549254,400,104.752711
-2637.350271,400,105.625387
-1783.525405,400,106.481989
-2981.879018,400,107.355333
-1054.160476,400,108.263857
-1506.526423,400,109.120912
-2218.67788,400,109.965139
-976.150665,400,110.830224
-1223.736774,400,111.670218
-843.031478,262,112.221299
-1692.692898,400,113.078629
-2262.504196,400,113.972594
-975.993439,400,114.873345
-1188.765329,400,115.738569
-1867.883326,400,116.601249
-1752.383104,400,117.468756
-1656.25549,400,118.338129
-1979.448161,400,119.221478
-2242.205857,400,120.115748
-169.447872,80,120.296
-895.777423,227,120.833635
-1325.481684,400,121.706689
-1761.302132,400,122.596906
-2306.514556,400,123.467485
-150.130102,39,123.553247
-1338.007219,400,124.436872
-1442.211415,400,125.686759
-1225.004259,400,126.564651
-1487.136484,400,127.427295
-1717.309978,400,128.28394
-928.670735,400,129.14693
-1875.426361,400,129.987114
-721.911475,347,130.739303
-1273.536668,400,131.581652
-1087.517632,400,132.452049
-1257.424607,400,133.353262
-1686.798374,400,134.211306
-1076.252044,400,135.058465
-833.373156,400,135.931216
-1364.762803,400,136.810876
-1453.003576,400,137.680473
-313.333372,127,137.957642
-901.272434,400,138.86651
-1060.64734,400,139.745573
-1008.150374,368,140.563868
-1072.103542,400,141.43228
-1067.124348,347,142.175983
-1351.801525,400,143.033807
-1339.656262,400,143.939704
-967.863953,400,144.830367
-1732.742544,400,145.718743
-577.119918,85,145.903575
-1359.702099,400,146.830982
-1313.450024,400,148.027665
-1488.52782,400,148.894685
-1195.544817,400,149.755709
-79.389973,48,149.860436
-1241.524739,397,150.732241
-1304.659109,400,151.605835
-1067.02751,400,152.455255
-943.185563,400,153.301703
-1618.549376,400,154.151002
-1027.067114,400,155.024325
-914.154955,400,155.884644
-1030.265649,400,156.797658
-514.051991,185,157.188069
-955.052058,400,158.051435
-852.357395,346,158.79818
-1010.920226,400,159.660409
-1556.262756,400,160.513963
-1326.609654,400,161.370908
-791.873545,317,162.04801
-1118.640305,400,162.912112
-1167.733039,400,163.759417
-1163.544947,400,164.609966
-996.932437,400,165.46195
-1159.548529,400,166.323891
-1119.563137,400,167.178175
-1445.372927,400,168.029845
-1308.812814,400,169.173467
-893.571126,360,169.933988
-1146.105517,400,170.783621
-419.381259,218,171.25741
-1097.665807,400,172.129808
-547.480046,245,172.651797
-956.926866,400,173.497997
-917.289034,400,174.353445
-1283.468262,400,175.209716
-1145.508903,400,176.058015
-1449.802749,400,176.97457
-1231.317433,400,177.854563
-446.484823,159,178.199441
-1156.362734,400,179.078104
-1114.816098,400,179.960947
-1552.703985,400,180.847672
-216.725404,83,181.026166
-945.702091,400,181.898876
-1571.321263,394,182.742799
-934.625164,375,183.541517
-1436.649559,400,184.45321
-1070.276371,400,185.320104
-1828.92369,400,186.229739
-1089.140542,400,187.145312
-1141.548997,400,187.993236
-1016.478839,400,188.845301
-612.451217,264,189.401361
-1325.356345,400,190.247553
-854.074375,400,191.390712
-950.843338,400,192.27651
-772.29345,314,192.958434
-17.230333,14,192.988668
-1885.637579,400,193.843954
-1427.742122,400,194.694788
-1153.008185,400,195.545777
-1436.981644,400,196.403175
-422.952021,199,196.823364
-471.62252,264,197.412404
-1069.623842,400,198.297623
-1022.809589,400,199.180831
-1085.941671,400,200.052131
-40.443111,29,200.113537
-1354.459415,371,200.932314
-1309.234177,400,201.804772
-1641.387402,400,202.682076
-1260.052899,400,203.553096
-986.384945,400,204.447883
-997.659004,400,205.342336
-671.206971,182,205.728211
-145.546988,72,205.883833
-958.906859,400,206.751833
-1075.866826,400,207.651566
-1339.69682,400,208.548469
-1619.999188,400,209.417933
-1396.096471,400,210.294697
-1302.279811,400,211.163326
-695.849728,286,211.77053
-116.381622,48,211.872155
-907.79362,400,212.727739
-404.992044,70,213.224076
-918.820791,400,214.09533
-1055.303968,400,214.960448
-833.932296,400,215.82582
-1055.894939,400,216.703285
-726.637436,400,217.558632
-1051.88374,231,218.06883
-1203.764208,300,218.707608
-1024.640387,400,219.60105
-887.409473,354,220.360051
-1166.6727,400,221.218428
-132.242972,39,221.303323
-1205.825742,400,222.197816
-1031.025454,400,223.108733
-1084.828051,400,223.995747
-814.978238,400,224.850915
-851.79276,400,225.722218
-1040.608135,400,226.584941
-869.940643,400,227.445643
-359.812944,149,227.769007
-655.982602,400,228.652399
-844.419018,400,229.529033
-972.637402,400,230.378103
-1210.162604,400,231.255495
-1022.46038,400,232.122845
-435.446621,162,232.474121
-1443.215357,400,233.352306
-761.056883,400,234.208241
-759.61351,400,235.456865
-474.47992,162,235.810239
-993.617426,400,236.672047
-1115.988273,400,237.546365
-1200.637018,400,238.428584
-1125.123209,400,239.32953
-1160.72815,400,240.225162
-1114.091049,400,241.087973
-293.462358,99,241.304653
-1285.052394,400,242.190137
-1468.118366,400,243.068002
