#{"t_start": 1759114962.6566603, "env_id": "KinematicCar-v0"}
r,l,t
-21415.448308,500,11.191987
-57178.372217,500,11.27739
-4381.391137,500,11.362991
-21257.52323,500,11.448598
-79905.981086,500,11.533774
-9373.702422,500,32.437441
-9943.65338,500,32.519641
-4122.009518,500,32.601188
-4353.339025,500,32.685294
-10580.38901,500,32.768092
-9219.319131,500,53.653095
-8215.546131,500,53.738146
-4406.224525,500,53.82025
-4196.887549,500,53.901921
-3260.608226,500,53.984288
-5047.374263,500,74.92856
-3917.088334,500,75.015024
-7255.905646,500,75.101599
-3774.660854,500,75.187163
-3951.944441,500,75.273481
-1706.91803,500,96.289773
-5220.919903,500,96.373552
-4641.475617,500,96.457069
-3087.823413,500,96.540086
-3174.086483,500,96.624
-1091.687804,500,117.458584
-2896.022717,500,117.542866
-2056.958402,500,117.626724
-4181.083966,500,117.710306
-3459.174921,500,117.793349
-2910.19379,500,138.695732
-6031.667084,500,138.777658
-3976.6144,500,138.858709
-1386.977109,500,138.941118
-580.390656,500,139.024708
-3931.696696,500,159.80965
-2973.445457,500,159.896295
-2912.461171,500,159.981738
-2989.479476,500,160.068712
-2562.781144,500,160.155902
-2122.806202,500,181.107608
-7255.409524,500,181.192471
-1433.30877,500,181.277436
-2801.156981,500,181.363335
-4753.765019,500,181.448793
-1174.380007,500,202.277261
-2292.293988,500,202.361773
-1702.06474,500,202.44567
-2914.635896,500,202.529525
-3023.219058,500,202.613266
-1686.429048,500,223.392176
-4390.084748,500,223.477124
-1671.86642,500,223.566723
-2846.954229,500,223.652441
-1950.579913,500,223.737404
-1763.454888,500,244.592235
-4376.194776,500,244.677233
-1898.531233,500,244.763397
-3319.309778,500,244.849504
-2688.694768,500,244.935814
-4044.925072,500,265.832696
-3426.195256,500,265.91785
-4179.437208,500,266.003618
-5038.684033,500,266.089874
-1068.087517,500,266.175355
-2827.607831,500,287.240125
-2111.075317,500,287.323631
-4032.56224,500,287.408938
-3001.85402,500,287.494461
-5154.728889,500,287.579127
-1690.581899,500,308.505285
-4632.336819,500,308.589334
-4925.713572,500,308.672308
-3534.559128,500,308.754863
-3646.358655,500,308.837577
-2036.464011,500,329.719285
-3655.631293,500,329.801702
-1833.562429,500,329.883465
-4043.43933,500,329.964779
-3686.222993,500,330.046938
-3387.927543,500,350.888131
-3662.570858,500,350.9745
-7521.20482,500,351.060791
-1932.716035,500,351.148454
-1722.433445,500,351.235517
-10553.897316,500,372.208307
-10595.928453,500,372.294721
-6987.771657,500,372.381008
-1605.108972,500,372.467586
-1229.474424,500,372.553342
-6221.531962,500,393.584287
-3140.735256,500,393.668928
-1824.527179,500,393.754479
-2768.435342,500,393.838392
-6555.118347,500,393.921997
-10517.518394,500,414.940303
-2853.225228,500,415.027674
-2326.361394,500,415.1144
-8663.037328,500,415.201726
-3693.735453,500,415.289191
1.86927
-1468.609444,500,102.927895
-3366.950879,500,103.960671
-3142.484474,500,105.010836
-4192.208806,500,106.051875
-3632.840229,500,107.079895
-4634.471468,500,108.134999
-3106.031242,500,109.200171
-6125.27983,500,110.25569
-1836.101721,500,111.265346
-2248.045126,500,112.284718
-2106.375915,500,113.308932
-2453.913767,500,114.371896
-3077.353571,500,115.399694
-2195.666822,500,116.415373
-2336.463486,500,117.431818
-2814.938619,500,118.458774
-3641.384686,500,119.472763
-2443.66572,500,120.931237
-2835.98705,500,121.957451
-2602.583737,500,122.972734
-3279.195875,500,124.01231
-6188.707591,500,125.042486
-1844.564786,500,126.084661
-4556.445167,500,127.131076
-4112.372507,500,128.155972
-2417.074378,500,129.195303
-5141.401127,500,130.254133
-6139.344291,500,131.311688
-6246.626637,500,132.362423
-3696.285621,500,133.395819
-3117.945138,500,134.438457
-3844.031514,500,135.487943
-2785.577048,500,136.518019
-2126.884853,500,137.557616
-2351.913994,500,138.640293
-7785.066828,500,139.678748
-2134.143256,500,140.712454
-2011.069302,500,142.14623
-3860.130634,500,143.172962
-2542.509299,500,144.241427
-5789.314007,500,145.282029
-3509.465164,500,146.323789
-3276.793874,500,147.363642
-7149.115648,500,148.400513
-3030.039418,500,149.443123
-2541.244482,500,150.487677
-4852.205802,500,151.515265
-5421.999845,500,152.534272
-2066.531446,500,153.539937
-3677.866074,500,154.581698
-4008.680299,500,155.614426
-4139.985846,500,156.640911
-4016.297434,500,157.671498
-1789.785107,500,158.703635
-2706.690035,500,159.751424
-3825.417842,500,160.790581
-3894.268759,500,161.822012
-2718.930811,500,163.291642
-3757.127873,500,164.344718
-1706.582233,500,165.372379
-2579.702615,500,166.404742
-2277.026902,500,167.441338
