#{"t_start": 1759137489.0628169, "env_id": "KinematicCar-v0"}
r,l,t
-33.76545,500,253.612297
-31.406875,500,254.653818
-57.413316,500,255.686344
-26.435683,500,256.745653
-79.550019,500,257.787158
-20.993466,500,258.8516
-18.84204,500,259.890032
-55.619722,500,260.92479
-21.055129,500,261.966728
-21.882402,500,263.01622
-13.374433,500,264.07548
-30.28924,500,265.104666
-33.547456,500,266.143437
-18.260752,500,267.183909
-44.671642,500,268.229119
-8.908983,500,269.716423
-15.116029,500,270.753396
-31.18978,500,271.78933
-10.336529,500,272.819352
-74.313559,500,273.859508
-16.756173,500,274.897685
-36.678251,500,275.935023
-23.831767,500,276.963325
-37.533257,500,277.996108
-22.129188,500,279.040862
-45.686808,500,280.075304
-10.517609,500,281.102087
-17.202133,500,282.126777
-52.038339,500,283.154307
-46.010801,500,284.187004
-46.832556,500,285.204632
-67.657769,500,286.238318
-13.940461,500,287.289483
-42.854307,500,288.322821
-14.744508,500,289.37307
-56.705054,500,290.866648
-30.299049,500,291.901638
-30.177848,500,292.937689
-41.463881,500,293.98884
-64.880503,500,295.030624
-37.258275,500,296.070371
-16.962776,500,297.112168
-37.408577,500,298.152911
-32.488889,500,299.206405
-68.032951,500,300.237638
-19.142851,500,301.269545
-20.270978,500,302.308574
-16.181419,500,303.350023
-65.69378,500,304.400774
-11.61836,500,305.482117
-26.924811,500,306.546593
-30.779182,500,307.585989
-18.086356,500,308.625553
-69.279746,500,309.680539
-30.820123,500,310.727918
-13.945491,500,312.206239
-38.521267,500,313.248137
-18.91782,500,314.287472
-74.164195,500,315.362078
-35.440799,500,316.400422
-29.122317,500,317.443911
-13.861554,500,318.514496
-19.885121,500,319.569841
-21.311511,500,320.612578
-40.658037,500,321.720862
-41.234039,500,322.759868
-19.183518,500,323.805865
-10.321768,500,324.922446
-10.56089,500,325.960251
-40.120078,500,327.006666
-22.228412,500,328.044642
-42.008594,500,329.102297
-17.170254,500,330.196928
-24.150259,500,331.225711
-16.858459,500,332.264913
-23.393813,500,333.7217
-48.06504,500,334.762341
-18.49556,500,335.826993
-28.480386,500,336.870241
-41.060197,500,337.913717
-54.138118,500,338.953852
-10.56964,500,340.044205
-12.39511,500,341.092381
-8.84329,500,342.127898
-13.403824,500,343.169936
-20.546725,500,344.208519
-30.05252,500,345.282912
-78.625894,500,346.33724
-72.870896,500,347.371834
-26.229189,500,348.451725
-23.798397,500,349.498193
-33.022697,500,350.574949
-16.900282,500,351.611852
-47.872424,500,352.649821
-16.801512,500,353.688369
-30.725879,500,355.186023
-37.792965,500,356.22398
-19.683256,500,357.248738
-20.492642,500,358.275825
-42.249454,500,359.303768
-17.908648,500,360.354565
-34.862779,500,361.3887
-51.462041,500,362.424193
-13.881802,500,363.457831
-24.759867,500,364.498581
-27.497925,500,365.591659
-25.321233,500,366.632172
-52.391643,500,367.685609
-14.904436,500,368.721088
-26.836497,500,369.75197
-20.308337,500,370.855422
-40.408764,500,371.89203
-42.982007,500,372.914749
-42.500403,500,373.942653
-28.298622,500,374.969007
-56.862137,500,376.457984
-32.025681,500,377.487751
-9.754958,500,378.561337
-23.003932,500,379.585793
-47.946347,500,380.625504
-29.462904,500,381.666938
-60.822378,500,382.702652
-62.526089,500,383.739349
-66.777913,500,384.779255
-18.231217,500,385.824997
-78.608775,500,386.862688
-46.649505,500,387.927975
-28.08964,500,388.973824
-18.754264,500,390.064094
-60.158025,500,391.120065
-22.761449,500,392.152806
-27.839622,500,393.178511
-38.029726,500,394.202096
-32.388767,500,395.243532
-34.400389,500,396.344484
-34.304278,500,397.806957
-34.491552,500,398.84078
-49.470962,500,399.869845
-46.622799,500,400.905765
-66.623885,500,401.962838
-37.19058,500,403.006319
-59.923596,500,404.042814
46.35775,71,404.190681
-12.139322,500,405.226353
-12.687906,500,406.260283
-45.258681,500,407.307795
-42.772528,500,408.35016
-12.435486,500,409.379914
-23.229625,500,410.404496
-16.86621,500,411.446512
-61.611442,500,412.495737
-39.953458,500,413.534247
-29.324038,500,414.582107
-22.534279,500,415.632815
-15.414345,500,416.676862
-25.480293,500,417.708682
