#{"t_start": 1759113540.3613212, "env_id": "KinematicCar-v0"}
r,l,t
-8387.178231,800,11.280577
-7699.514601,800,11.412498
-8015.615432,800,11.543936
-16518.9208,800,11.682198
-15736.070536,800,11.818858
-15432.414212,800,32.758793
-2692.627216,800,32.892204
-11092.601496,800,33.031817
-2178.731988,800,33.169214
-8593.43593,800,33.307082
-6117.433539,800,54.208965
-11314.994972,800,54.342279
-5051.444912,800,54.47637
-3910.014357,800,54.610269
-3938.90248,800,54.744577
-13908.571619,800,75.48305
-1598.139344,800,75.61667
-9144.433632,800,75.75044
-6239.575666,800,75.882668
-4006.44548,800,76.015013
-5989.698722,800,96.943065
-6039.876073,800,97.081652
-3655.376658,800,97.219671
-2981.159317,800,97.356872
-3702.521508,800,97.49435
-462.513175,800,118.329394
-6451.588197,800,118.465239
-4246.790807,800,118.601801
-12049.881447,800,118.738049
-2836.27678,800,118.868215
-5096.933397,800,139.741065
-9301.642048,800,139.877817
-2709.580778,800,140.015318
-5462.6115,800,140.153069
-5051.768812,800,140.29095
-5612.11946,800,161.100075
-1012.885875,800,161.234874
-2199.206738,800,161.370145
-8281.557343,800,161.505603
-6643.400468,800,161.640217
-4566.600069,800,182.529911
-2205.622581,800,182.659491
-4635.578874,800,182.788677
-5150.166726,800,182.917366
-10821.39465,800,183.046322
-5400.210943,800,203.957294
-3951.202524,800,204.089518
-4136.775349,800,204.222662
-9951.879993,800,204.358883
-4943.289332,800,204.4916
-3992.657102,800,225.311791
-4463.063126,800,225.450852
-8124.161088,800,225.58937
-4584.18956,800,225.72844
-10500.177081,800,225.866001
-1246.82286,800,246.663218
-1737.41753,800,246.799947
-6078.4489,800,246.935399
-3366.469822,800,247.070809
-3848.59919,800,247.205744
-2149.640989,800,268.076493
-1268.651737,800,268.21017
-3299.766825,800,268.344453
-6910.620005,800,268.479784
-3573.242937,800,268.61778
-8476.882524,800,289.499311
-3344.194384,800,289.627285
-741.161684,800,289.758323
-6488.47333,800,289.893263
-2755.729512,800,290.026467
-4174.270346,800,310.825278
-976.648724,293,310.873265
-1226.483937,800,311.006587
-6416.473746,800,311.139105
-11454.355364,800,311.271387
-1864.02709,800,332.15576
-3603.386941,800,332.29614
-7179.750113,800,332.434058
-3283.130979,800,332.57166
-2369.617172,800,332.70788
6,800,130.938363
-3376.67928,800,132.598075
-2662.48855,800,134.247962
-2139.319322,800,135.905681
-3631.704181,800,137.570979
-3626.712032,800,139.225033
-2911.398251,800,140.874526
-1894.093324,800,143.225033
-1540.112632,800,144.871825
-4955.772804,800,146.514685
-2283.371412,800,148.197495
-1827.163082,800,149.849257
-7909.779008,800,151.492266
-6631.494472,800,153.164667
-8754.734615,800,154.806969
-2593.549147,800,156.457226
-6267.95543,800,158.128958
-3698.182046,800,159.785677
-2085.884912,800,161.422089
-3946.113897,800,163.055908
-4171.996016,800,165.405143
-5066.375558,800,167.072944
-5441.301544,800,168.733721
-3531.010442,800,170.377314
-5006.410866,800,172.038562
-4483.012388,800,173.71223
-2251.310235,800,175.35939
-7824.85031,800,177.007596
-7266.459801,800,178.674602
-2246.319303,800,180.322219
-5907.330061,800,181.979976
-3307.895482,800,183.654118
-2227.371431,800,185.957101
-3217.321172,800,187.607068
-3862.692134,800,189.280707
-2788.215081,800,190.940009
-2226.16889,800,192.604166
-3274.288078,800,194.270327
-4362.906222,800,195.933991
-6061.166628,800,197.594839
-5789.691129,800,199.281664
